
Dez		307.11	12	288.36	36	815.55	60	437.05	25

Jan		288.33	14	288.36	36	815.55	60	466.00	22

Fev		325.89	10	288.36	36	834.25	58	446.70	24

Mar		288.33	14	288.36	36	806.20	61	408.10	28

Abr		316.50	11	288.36	36	778.15	64	427.40	26

Mai		377.70	6	483.60	16	1217.14	19	710.60	0

Jun		367.36	7	454.53	19	1146.10	25	710.60	0

Jul		326.00	11	464.22	18	1300.02	12	710.60	0

Ago		346.68	9	435.15	21	1217.14	19	710.60	0

Set		377.70	6	502.98	14	1240.82	17	710.60	0

Out		297.72	13	288.36	36	815.55	60	446.70	24

Nov		269.55	16	288.36	36	824.90	59	475.65	21

Dez		307.11	12	288.36	36	834.25	58	408.10	28

Jan		316.50	11	288.36	36	824.90	59	427.40	26

Fev		297.72	13	288.36	36	796.85	62	446.70	24

Mar		307.11	12	288.36	36	806.20	61	437.05	25

Abr		316.50	11	288.36	36	815.55	60	446.70	24

Mai		377.70	6	435.15	21	1252.66	16	710.60	0

Jun		367.36	7	483.60	16	1169.78	23	710.60	0

Jul		388.04	5	444.84	20	1228.98	18	710.60	0

Ago		336.34	10	483.60	16	1228.98	18	710.60	0

Set		377.70	6	406.08	24	1193.46	21	710.60	0

Out		288.33	14	288.36	36	824.90	59	437.05	25

Nov		297.72	13	288.36	36	806.20	61	417.75	27

Dez		307.11	12	288.36	36	806.20	61	437.05	25
