
Nov		324.48	9	358.48	35	783.34	62	440.64	20	146.40	8	726.82	24	976.44	43	43.19	1	256.20	0

Dez		315.99	10	423.54	33	827.86	56	408.34	25	73.20	12	707.68	26	941.00	47	51.00	0	256.20	0

Jan		282.03	14	423.05	32	805.60	59	447.10	19	91.50	11	698.11	27	878.98	54	51.00	0	256.20	0

Fev		307.50	11	402.98	36	835.28	55	421.26	23	54.90	13	726.82	24	985.30	42	43.19	1	256.20	0

Mar		324.48	9	423.54	33	798.18	60	401.88	26	73.20	12	659.83	31	941.00	47	43.19	1	256.20	0

Abr		290.52	13	445.06	32	827.86	56	382.50	29	54.90	13	659.83	31	905.56	51	51.00	0	256.20	0

Mai		324.72	9	485.28	24	1151.20	11	584.72	8	206.20	6	850.44	11	1194.36	21	58.35	0	217.56	7

Jun		307.70	11	584.76	12	1087.71	18	584.72	8	226.82	5	838.98	12	1175.64	23	20.82	3	211.56	8

Jul		290.68	13	520.08	19	1169.34	9	580.29	9	226.82	5	873.36	9	1147.56	26	33.33	2	223.56	6

Ago		341.74	7	582.00	16	1160.27	10	580.29	9	164.96	8	884.82	8	1185.00	22	33.33	2	223.56	6

Set		350.25	6	540.72	18	1169.34	9	567.00	12	206.20	6	884.82	8	1250.52	15	20.82	3	199.56	10

Out		315.99	10	413.02	34	790.76	61	388.96	28	73.20	12	678.97	29	976.44	43	51.00	0	256.20	0

Nov		290.52	13	423.05	32	805.60	59	395.42	27	91.50	11	688.54	28	976.44	43	43.19	1	256.20	0

Dez		299.01	12	402.50	35	790.76	61	414.80	24	73.20	12	688.54	28	914.42	50	43.19	1	256.20	0

Jan		290.52	13	434.54	33	813.02	58	382.50	29	54.90	13	698.11	27	887.84	53	43.19	1	256.20	0

Fev		273.54	15	379.03	32	798.18	60	401.88	26	164.70	7	707.68	26	949.86	46	43.19	1	256.20	0

Mar		315.99	10	402.50	35	805.60	59	421.26	23	73.20	12	707.68	26	896.70	52	43.19	1	256.20	0

Abr		273.54	15	424.02	34	842.70	54	395.42	27	54.90	13	631.12	34	976.44	43	43.19	1	256.20	0

Mai		299.19	12	542.88	19	1078.64	19	593.58	6	185.58	7	861.90	10	1222.44	18	45.84	1	217.56	7

Jun		367.27	4	579.84	15	1114.92	15	598.01	5	185.58	7	884.82	8	1194.36	21	45.84	1	211.56	8

Jul		358.76	5	432.60	26	1123.99	14	598.01	5	268.06	3	896.28	7	1147.56	26	33.33	2	223.56	6

